like,love,haha,wow,care,sad,angry,post_id,total
3003,6,21,13,4,1089,19,731043432389703,4155
699,3,564,6,1,1,1,731015475725832,1275
2846,737,21,2,14,0,1,730966445730735,3621
256,5,164,0,1,0,1,730945852399461,427
1014,7,1271,0,1,3,1,730934009067312,2297
3186,307,1319,1,16,6,1,730915179069195,4836
495,1,396,0,1,10,1,730870742406972,904
5785,3245,1148,3,118,3,1,730835342410512,10303
991,14,661,1,2,2,1,730737992420247,1672
3733,395,7,7,9,29,1,730505979110115,4181
508,16,282,0,3,0,1,730467145780665,810
3348,17,1580,8,5,1017,2,730445999116113,5977
3586,17,2524,4,12,665,1,730430485784331,6809
232,2,193,0,0,0,1,730412695786110,428
2594,17,3657,3,7,15,1,730397489120964,6294
1782,76,1615,1,20,1,1,730360452458001,3496
9732,19,4759,459,11,9836,12,730321012461945,24828
294,3,247,0,0,9,2,730254692468577,555
1236,5,913,12,3,53,1,729976379163075,2223
4221,179,6972,8,55,16,2,729971205830259,11453
2442,46,1408,25,2,9,1,729950299165683,3933
13917,3840,415,30,81,60,1,729932089167504,18344
1146,2,636,1,2,234,1,729905999170113,2022
2571,440,1315,1,10,0,1,729881232505923,4338
650,6,204,1,0,218,1,729873829173330,1080
604,4,667,1,0,4,1,729843602509686,1281
1384,45,7,0,5,1,1,729807465846633,1443
3309,12,6344,9,4,108,3,729799775847402,9789
6289,301,8717,6,87,20,1,729710322523014,15421
3157,11,7103,4,7,41,1,729669449193768,10324
13140,2243,17242,31,180,11,2,729447775882602,32849
644,7,370,1,1,2,1,729407202553326,1026
2675,48,1250,3,2,14,2,729400219220691,3994
2485,91,2967,0,11,4,1,729368402557206,5559
5718,2107,1651,6,81,2,1,729295562564490,9566
1964,549,3,0,0,1,1,729201372573909,2518
8866,1550,1109,21,37,3,1,729194079241305,11587
1175,35,262,3,1,1,1,729123932581653,1478
4269,101,2962,2,6,1,1,728934739267239,7342
3562,36,4213,7,3,8,1,728895169271196,7830
2328,454,716,0,2,4,1,728876309273082,3505
8163,1907,92,21,40,2,1,728859635941416,10226
4023,42,8094,10,14,283,1,728778415949538,12467
8573,3095,43,66,100,3,1,728757852618261,11881
